text_a	text_b	damsl_labels	labels
For here you add  another 4 so for here and for the 16	You sure its 1000	aa	1.0
You sure its 1000	You sure	sd	1.0
You sure	Yeah	b	1.0
Yeah	Because look you have	sd	0.0
Because look you have	Now see youre dividing the	sd	1.0
Now see youre dividing the	Im not dividing	sd	1.0
Im not dividing	The problem	sd	0.0
The problem	Youre timesing no you dont times it	sd	1.0
Youre timesing no you dont times it	Its the  same thing I did	sd	1.0
Its the  same thing I did	I counted ahead	sd	3.0
I counted ahead	I just counted ahead 5 or  6 and I said oh I could just multiply it by that and thatll  give me the same answer but it didnt work	sd	4.0
I just counted ahead 5 or  6 and I said oh I could just multiply it by that and thatll  give me the same answer but it didnt work	Okay	b	1.0
Okay	It didnt work	sd	1.0
It didnt work	Okay	b	1.0
Okay	You have to figure out whats in between that	sd	3.0
You have to figure out whats in between that	In between okay	sd	3.0
In between okay	Do you want me to figure out 10 right	sd	4.0
Do you want me to figure out 10 right	But in order to  figure out 10 I was only up to 5	sd	4.0
But in order to  figure out 10 I was only up to 5	So what I had to do was I  had to go and I had to say well whats 6 whats 7 whats  8 and whats 9 and times that times the last number I had	sd	4.0
So what I had to do was I  had to go and I had to say well whats 6 whats 7 whats  8 and whats 9 and times that times the last number I had	Yup shes right	aa	1.0
Yup shes right	I was up to 5 so I took the 6	sd	0.0
I was up to 5 so I took the 6	I was up to 6	sd	0.0
I was up to 6	Okay now I was up to 6	sd	0.0
Okay now I was up to 6	Yeah	b	1.0
Yeah	So I multiplied I tried first of all I tried multiplying it times  8 because I figured well all I have to do was 64 times 2  thats 8 so 64 times 8	sd	4.0
So I multiplied I tried first of all I tried multiplying it times  8 because I figured well all I have to do was 64 times 2  thats 8 so 64 times 8	What are you saying	sd	1.0
What are you saying	She did it wrong	sd	1.0
She did it wrong	First I thought well I dont want to go ahead and I dont  want to have to multiply 7 8 9 and 10	sd	4.0
First I thought well I dont want to go ahead and I dont  want to have to multiply 7 8 9 and 10	7 8 9 before I get  10	sd	4.0
7 8 9 before I get  10	So I figured 64 equals 10	sd	4.0
So I figured 64 equals 10	And since Im timesing  times 2 Ill multiply 42 to get 8 and then just multiply  648	sd	4.0
And since Im timesing  times 2 Ill multiply 42 to get 8 and then just multiply  648	But she was wrong	sd	1.0
But she was wrong	Yeah	b	1.0
Yeah	And then and then no she was right here	sd	1.0
And then and then no she was right here	She only timesed  it by 2 so she was right	sd	1.0
She only timesed  it by 2 so she was right	Then I did	sd	0.0
Then I did	You keep timesing it by 2	sd	1.0
You keep timesing it by 2	Then I did 1282	sd	4.0
Then I did 1282	You get your answer	qy	1.0
You get your answer	And you all ready got 512 over there	sd	3.0
And you all ready got 512 over there	And then you couldve timesed this by 2	sd	1.0
And then you couldve timesed this by 2	No thats the same thing	sv	1.0
No thats the same thing	But you couldve just timesed this by 2 and you wouldve  had it a lot easier than going times times times	sd	1.0
But you couldve just timesed this by 2 and you wouldve  had it a lot easier than going times times times	Ahh I just thought of something	sd	0.0
Ahh I just thought of something	Im wondering if this will  work	sd	0.0
Im wondering if this will  work	This 8 is 8 okay	sd	3.0
This 8 is 8 okay	This is 8 right	aa	3.0
This is 8 right	This is the  answer to 8	sd	3.0
This is the  answer to 8	You had it right you just didnt follow a pattern you just  took a guess	sd	1.0
You had it right you just didnt follow a pattern you just  took a guess	And then if you filled it out exactly	sd	1.0
And then if you filled it out exactly	Which gave you to 8	qy	1.0
Which gave you to 8	So if you	sd	0.0
So if you	This pattern works here	sd	3.0
This pattern works here	It wouldve worked her pattern wouldve	sd	1.0
It wouldve worked her pattern wouldve	It wouldve worked where but then she has to	sd	1.0
It wouldve worked where but then she has to	to times it by 2  after she gets her number	sd	1.0
to times it by 2  after she gets her number	She has to times it by 2 after she  gets her number	sd	1.0
She has to times it by 2 after she  gets her number	s idea here okay because what Stephanie has  here in her idea once she got to towers of 9 right she said  there were 512	sd	4.0
s idea here okay because what Stephanie has  here in her idea once she got to towers of 9 right she said  there were 512	Thats by each time multiplying it by 2	sd	4.0
Thats by each time multiplying it by 2	And then you have to move	sd	4.0
And then you have to move	This would work if you multiply it times 2	sv	4.0
This would work if you multiply it times 2	You still get 1024 like over here	sd	4.0
You still get 1024 like over here	Because because she wasnt so sure about going like this	sd	1.0
Because because she wasnt so sure about going like this	80	b	3.0
80	Theres a problem because you have to go all the way from  10 to 80	sd	3.0
Theres a problem because you have to go all the way from  10 to 80	Towers of 7	sd	3.0
Towers of 7	Yeah I think	sd	0.0
Yeah I think	Get out	sd	0.0
Get out	I agree	aa	1.0
I agree	But if you kept on going up you would have to add	sd	4.0
But if you kept on going up you would have to add	You have the same pattern same pattern	sd	3.0
You have the same pattern same pattern	Because with shirts you have to keep on alternating the  shirts with the pants	sd	4.0
Because with shirts you have to keep on alternating the  shirts with the pants	And keep on alternating pants with the  shirts	sd	4.0
And keep on alternating pants with the  shirts	Neither do I	sd	0.0
Neither do I	I might have it here	sd	0.0
I might have it here	Im thinking if I multiply the last  number I got which was 1024 times 80 that I got   81120 but  Im not sure if Im right or not	sd	4.0
Im thinking if I multiply the last  number I got which was 1024 times 80 that I got   81120 but  Im not sure if Im right or not	You know Id have to go  through all that	sd	0.0
You know Id have to go  through all that	Nuhuh	b	1.0
Nuhuh	Nuhuh	b	1.0
Nuhuh	Or maybe you would multiply it by 70 because you all ready  go 10	sd	4.0
Or maybe you would multiply it by 70 because you all ready  go 10	No but times it by 8   because you have to have 8 more	sd	4.0
No but times it by 8   because you have to have 8 more	You wouldnt times it by 8 because we timesed it by 8 when  we were on 8	sd	4.0
You wouldnt times it by 8 because we timesed it by 8 when  we were on 8	We times it by 80 when were on 80	sd	4.0
We times it by 80 when were on 80	True	aa	1.0
True	Nuhuh	b	0.0
Nuhuh	Did you times it by 80 when you were on 80	sd	1.0
Did you times it by 80 when you were on 80	I went I said well there was	sd	0.0
I went I said well there was	88	b	4.0
88	64	b	4.0
64	How could that be	sd	2.0
How could that be	Actually you would multiply it by 1600	sd	3.0
Actually you would multiply it by 1600	What are you guys talking about	sd	0.0
What are you guys talking about	We did that	sd	0.0
We did that	Just keep on building	sd	3.0
Just keep on building	I all ready did that	sd	0.0
I all ready did that	I all ready did that	sd	0.0
I all ready did that	You want us to try and figure it out the way I tried to figure  it out the first time	sd	3.0
You want us to try and figure it out the way I tried to figure  it out the first time	This	sd	0.0
This	But all you did	sd	0.0
But all you did	You didnt know times 2 times 2 would help you	sd	1.0
You didnt know times 2 times 2 would help you	I did	sd	1.0
I did	Shes right Jeff	aa	1.0
Shes right Jeff	You should really multiply by 8	sd	3.0
You should really multiply by 8	Times 3	sd	4.0
Times 3	4 times 2	sd	4.0
4 times 2	Oh	b	0.0
Oh	4	b	3.0
4	Same thing	sd	0.0
Same thing	8	b	3.0
8	You multiplied the amount of times you	sd	1.0
You multiplied the amount of times you	Yeah	b	0.0
Yeah	No	b	1.0
No	Because to get towers of 2 then it will be much easier	sd	4.0
Because to get towers of 2 then it will be much easier	Yeah but the thing is its right its easier	sd	1.0
Yeah but the thing is its right its easier	Yeah we did	sd	0.0
Yeah we did	Yeah okay	b	0.0
Yeah okay	Shirts and pants	sd	0.0
Shirts and pants	No	b	0.0
No	Oh no	ba	0.0
Oh no	I have no idea	sd	2.0
I have no idea	I didnt think of it	sd	0.0
I didnt think of it	Can I tell you what I told you last time I was here about  shirts and pants	sd	0.0
Can I tell you what I told you last time I was here about  shirts and pants	Because remember it was the problem with the shirts the  pants	sd	4.0
Because remember it was the problem with the shirts the  pants	You had to match up Stevens pants with the shirts to  make like a tower	sd	4.0
You had to match up Stevens pants with the shirts to  make like a tower	Remember	sd	0.0
Remember	He has to have at least big hands	sd	0.0
He has to have at least big hands	Thank you	aa	0.0
And Im a little hard of hearing	Valerie shares some of the 12 candies from this box	sd	0.0
Valerie shares some of the 12 candies from this box	She gave Cindy 1 candy for every 3 candies she eats herself	sd	0.0
Okay so when you and your partner are ready could you and your partner go ahead and share what you think is going on in this illustration	For every 3	sd	4.0
For every 3	So theres 12 candies right	sd	4.0
So theres 12 candies right	So whats 12 divided by 4	sd	4.0
So whats 12 divided by 4	3	b	3.0
3	So 12 divided by 4 is 3	sd	4.0
And you  are Ashank	For every like 3 candies that she that Valerie has Cindy would only get 1	sd	4.0
What do you think they were thinking	Like in one column it contains in one row it contains 4 candies	sd	3.0
Andrew what do you think	the person counted 3 candies for Valerie and then put a C in the next candy because Valerie gets 3 candies	sd	4.0
Cynthia	This person thought in rows instead of columns and for every row he had 3 Vs and 1 C	sd	3.0
Yes sir what did you want to add to that	I think that theres maybe kind of a fraction way	sd	3.0
What do you mean	Like for in every row theres 4 columns I mean 4 rows	sd	3.0
Im understanding now	So then 1 is given to Cindy and 3 is given to Valerie so 1 4 is given to Cindy in each row	sd	4.0
And then go ahead and share with your partner when youre ready	The second one  I think its the second one	sd	4.0
The second one  I think its the second one	Because for each 3 that Valerie eats she gives one to her friend Cindy	sd	4.0
Because for each 3 that Valerie eats she gives one to her friend Cindy	I mean give one candy to Cindy	sd	4.0
How about the first one	This first one is stopping confusing	sd	2.0
This first one is stopping confusing	I think the second one is better because	sd	3.0
This one	Because if youre looking its confusing 3 Valeries and then 1	sd	3.0
And  let me get your name  Ashank nice and loud	I think that it would be also a good thing	sv	4.0
I think that it would be also a good thing	Because your brain in the first one your brain is its like very complicated to calculate like all the candies and the things that Valerie will eat and Cindy	sd	4.0
Because your brain in the first one your brain is its like very complicated to calculate like all the candies and the things that Valerie will eat and Cindy	But in the second its easy to calculate	sd	4.0
Okay so you think this one is a little harder to interpret	Yeah	b	0.0
What did you want to add Saurabh	I think the first one would be easier because because when you put the  it will be easier for people to understand because you can just draw the figure and put Vs in the ones that Valerie eats and then C in the ones Cindy eats	sd	4.0
I think the first one would be easier because because when you put the  it will be easier for people to understand because you can just draw the figure and put Vs in the ones that Valerie eats and then C in the ones Cindy eats	So then you can go in a kind of pattern 3 for Valerie 1 for Cindy	sd	4.0
So then you can go in a kind of pattern 3 for Valerie 1 for Cindy	Then 3 more for Valerie 1 for Cindy	sd	4.0
You think this ones easier to see	Yeah the pattern  to understand	sd	3.0
Kevin could you read this for us	Anthony makes candy	sd	0.0
Nice and loud	First he mixes 1 cup of cream with 2 cups of chocolate	sd	0.0
First he mixes 1 cup of cream with 2 cups of chocolate	In all he uses 9 cups of the two ingrdients	sd	0.0
Ingredients	Ingredients	sd	0.0
Yeah	How many cups of chocolate does he use in his candy recipe	sd	0.0
I see some private thumbs  and when you and your partner are both ready go ahead and you may share	So he thinks each one is 9 cups he forgot the  in all	sd	1.0
So he thinks each one is 9 cups he forgot the  in all	Yeah he didnt write the	sd	1.0
Yeah he didnt write the	Yeah he saw it	sd	1.0
Yeah he saw it	Yeah	b	1.0
Yeah	Because he thinks every cup is 9 cups but he forgot the  in all	sd	1.0
Because he thinks every cup is 9 cups but he forgot the  in all	So he used 3 cups in one ingredient and then to make it 9 cups he had to add that ingredient 2 more times	sd	1.0
So he used 3 cups in one ingredient and then to make it 9 cups he had to add that ingredient 2 more times	So it makes 3  3  3 which equals 9	sd	4.0
Really loud I can barely hear you	Hes wrong because he thought both the chocolate and the cream were 9 cups which means in all it had 18 cups	sd	4.0
The problem gives the answer  Private think time Shhh private think time and then pair share when both you and your partner are ready	That is only 3 cups and in all there should be 9 cups	sd	3.0
That is only 3 cups and in all there should be 9 cups	Oh	b	0.0
Oh	And the correct answer should be 69ths  or 23	sd	3.0
What do you think of this one	I think that the person who answered this problem didnt read the whole problem	sd	1.0
So if they only had the 2 cups of chocolate here youre saying he would have had 7 cups of cream	Yeah	b	0.0
Andrew did you have one more thing to add	The persons wrong because if theres only 2 cups of chocolate there will only be 1 cup of cream and that equals only 3 cups of ingredients	sd	1.0
Think about this one Im seeing a few private thumbs remember that when you and your partner are both ready to share you may share	So I think he meant theres 18 chocolates which doesnt make sense because in total theres 9 cups in all	sd	4.0
So I think he meant theres 18 chocolates which doesnt make sense because in total theres 9 cups in all	I think he misunderstood the question because he probably thought there were 9 cups of everything	sd	4.0
I think he misunderstood the question because he probably thought there were 9 cups of everything	Oh	b	4.0
Oh	And then like 9 cups of cream and then 2 cups  I dont know what he meant but hes wrong	sd	0.0
What do you think of the diagram	Uh I was going to say what he said	sd	1.0
Well I know but I didnt hear so can you say it again	I said that she misunderstanded she misunderstood the question just like the first person	sd	1.0
I said that she misunderstanded she misunderstood the question just like the first person	Because in all theres 9	sd	3.0
Because in all theres 9	Probably thought like since theres 2 and the problem said 2 cups of chocolate he probably thought every 2 cups theres like 9 cups or something and then thats how you got 2  9  the 18 cups but	sd	4.0
What would you like to tell us about this one	Because the student thought um misunderstood that the 9 cups was only for the cream so then he multiplied another one because there are two ingredients to get the answer	sd	4.0
Really loudly so I can hear	He thought that 9 cups is used for 1 ingredient	sd	1.0
9 cups is used for 1 ingredient	Um for cream	sd	3.0
Would you call on somebody else to to help with why they think that might have happened	Jason	sd	0.0
Timothy	Um basically	sd	0.0
Um basically	If instead of 9 cups in all it would be 27 he would have been right	sd	4.0
If instead of 9 cups in all it would be 27 he would have been right	He used the 9 in the wrong way	sd	4.0
He used the 9 in the wrong way	By multiplying the the 9 he multiplied the 2 and the 1 and then add them up	sd	4.0
By multiplying the the 9 he multiplied the 2 and the 1 and then add them up	So that you get 27	sv	4.0
So that you get 27	But if in all if he had done that if hed known that there were 27 cups he would have been correct	sd	4.0
Your name again  thats right Charlotte	Um its basically like the first problem he thought it was 9 cups of each so then it said 2 cups of chocolate so basically he multiplied 1 cup and then he uses 9 cups for cream and then 2 cups of the 9 cups of chocolate	sd	4.0
And I see I know it begins with an A Ashank	Whoever did the problem they could have like um they could have just added the 2 chocolate the 2 cups of chocolate and the 1 cup of cream which would have equaled 3 and then divided it by 9 which would which would actually for every you would get like 3 since 3  3 is 9 youd get 3 um 3s and for every 3 thered be like 2 cups of chocolate and thered be 1 cup of cream which would have eventually if youd have added up all the 2s you would have gotten  cups of chocolate	sd	4.0
Im not sure I understood you were saying if you added up the 1 cup of cream and 2 cups of chocolate	Yes which would have equaled 3	sd	3.0
So this here  would have been 3 cups	Yes	b	0.0
Okay and so for this grouping of 3 heres where you see your 2 cups of chocolate and 1 cup of cream	Yes	b	0.0
Did you have something to add to that	The answer would be to add those two together would equal 3 as he said	sd	4.0
Uh huh	and you would have to divide it by 9 because thats your number of total and then you would get 3 and thats how many servings he does	sd	4.0
and you would have to divide it by 9 because thats your number of total and then you would get 3 and thats how many servings he does	It would be 6 cups of cream	sd	4.0
What did you want to say Saurabh	What Jason said so then uh like what he said	sd	1.0
What Jason said so then uh like what he said	There would theres 3 cups 3 cups of the ingredients in the chocolate	sd	4.0
There would theres 3 cups 3 cups of the ingredients in the chocolate	So then he said that theres 9 cups of the uh ingredients	sd	4.0
So then he said that theres 9 cups of the uh ingredients	But they he has to divide it by 3 because theres in the first row theres 3 uh	sd	4.0
In this that Ashank was telling us about	Yeah	b	0.0
Yeah	So then that would equal 3	sd	4.0
And Andrew what did you want to add	Basically following Ashank but after he added the 1 cream and 2 chocolates equals 3 he does that keeps doing that until he gets a total of 9	sd	4.0
Basically following Ashank but after he added the 1 cream and 2 chocolates equals 3 he does that keeps doing that until he gets a total of 9	When he counts up all the chocolates	sd	1.0
Until you get a total of 9	Yeah	b	0.0
Yeah	And then you count up all the chocolates and that would be 6 chocolates	sd	4.0
So thats where you see the 6	Yeah	b	0.0
Did you want to add onto that Ashank	Well basically my answer was also 6	sd	3.0
What did you want to say	I agree with Andrew but then um especially the part where he thought based on the 9 cups of the ingredients he multiplied it by 1 cup of cream so and then since each cup of cream theres 2 cups of chocolate so then multiply 2 cups of chocolate by 9 cups of cream so they got 18 cups of chocolate	sd	4.0
They were ready	The 1 and 2 that equals the 3	sd	4.0
The 1 and 2 that equals the 3	And then 2 and 4 thats 6 and then he did 3 cream and 6 chocolate thats already 9 but since he kept going 4 cream and 8 chocolates it equals the 12 and its supposed to be only 9 cups of ingredients	sd	4.0
And then 2 and 4 thats 6 and then he did 3 cream and 6 chocolate thats already 9 but since he kept going 4 cream and 8 chocolates it equals the 12 and its supposed to be only 9 cups of ingredients	And you	sd	0.0
And you	I dont really get this one	sd	2.0
I dont really get this one	Its kind of like what I did	sd	0.0
Its kind of like what I did	Um	b	0.0
Um	For every 1 cup of cream he did 2 cups of chocolate and he did it again 1 cup of cream and 2 cups of chocolate and that would equal to um 2 cups of cream 4 cups of chocolate	sd	4.0
For every 1 cup of cream he did 2 cups of chocolate and he did it again 1 cup of cream and 2 cups of chocolate and that would equal to um 2 cups of cream 4 cups of chocolate	And then he kept doing that but then he kept going	sd	4.0
And then he kept doing that but then he kept going	So at the end he did it wrong	sd	1.0
So at the end he did it wrong	Because he should have stopped when he had 3 cream and 6 cups of chocolate	sd	4.0
Because he should have stopped when he had 3 cream and 6 cups of chocolate	Oh	b	0.0
Oh	Because if he kept going on he would have 12 and its not 9	sd	4.0
What do you think	The answer is logical	sd	0.0
The answer is logical	On the chart it says 8 cups of chocolate with the 4 cups of cream but if you add them together it makes 12 cups in total	sd	4.0
On the chart it says 8 cups of chocolate with the 4 cups of cream but if you add them together it makes 12 cups in total	But the problem says Anthony made 9 cups in total for the ingredients	sd	4.0
What do you think Saurabh	He was heading in the right direction but then he went up to 4 which was wrong because he should have reached up to 3 because theres 9 cups in total and	sd	4.0
So youre saying this student should have stopped here	Yeah	b	0.0
Did you have something to say	I think he wrote 8 cups because he misinterpreted the sentence	sd	4.0
I think he wrote 8 cups because he misinterpreted the sentence	He thought that you have to use 9 cups of the 2 of chocolate only in the ingredients so he got 8 cups which is the closest	sd	4.0
He thought that you have to use 9 cups of the 2 of chocolate only in the ingredients so he got 8 cups which is the closest	But then and he didnt want to go over the limit so he just wrote 8	sd	4.0
What did you want to add Timothy	I disagree with Jake because if he thought that only 1 cup would go for 1 cup of cream would go for every 1 cup of cream would go in the whole recipe then he wouldnt have had 1 cup of cream and 2 cups of chocolate 2 cups of cream and 4 he would have just had 1 cup of cream and 2 of chocolate 1 cup of cream and 4 of chocolate	sd	4.0
I disagree with Jake because if he thought that only 1 cup would go for 1 cup of cream would go for every 1 cup of cream would go in the whole recipe then he wouldnt have had 1 cup of cream and 2 cups of chocolate 2 cups of cream and 4 he would have just had 1 cup of cream and 2 of chocolate 1 cup of cream and 4 of chocolate	If he thought that 1 cup only 1 cup of cream goes into the whole recipe	sd	4.0
You said it would go 1 and 4	If he thought only 1 cup of cream goes into the whole recipe	sd	1.0
Okay	Then he wouldnt have had 2 cups of cream for 4 cups of chocolate	sd	1.0
Okay so youre saying this 1 because they had the solution of 8 cups that they were only counting 1 cup of cream in the whole recipe	Yeah	b	0.0
Yeah	But if they had it up to the 4 that doesnt make sense that theres only 1	sd	1.0
Did you want to respond	I dont think that Tim understanded me because I mean like he thought that all the ingredients combined is 9 cups he thought it was just the chocolate that needed 9 cups	sd	4.0
And  Samuel	The empty spaces or boxes	sd	3.0
Claire	In simplest form	sd	3.0
Whats your	There are two empty columns and three columns together	sd	3.0
3 columns	And two of them have been eaten so that makes the fraction which is eaten 23	sd	4.0
Okay	Well at least he got the method right	sd	1.0
Well at least he got the method right	He or she got the method right and I hope the answer right	sd	1.0
Kevin what are you thinking	Hes very close to the answer but he messed up	sd	1.0
Hes very close to the answer but he messed up	So 1 cream plus 2 chocolate equals 3 so 3 of them they they subtract then they come out its 9 then he just go on not	sd	4.0
9 in all so youre saying theyre very close because they added the 1 and the 2 to get the 3 kind of like I think Ashank was helping us with over here	Uh huh	b	0.0
What did you want to add Cynthia	Yeah	b	0.0
Daniel	I would think hes right because he knows that theres 9 cups in total and for every 1 cup of cream theres 2 chocolates so he first adds them up and theres only 3 but then the whole thing is 9 so he thinks he should do more until he reaches 9 and then if you add the chocolates itd be 6	sd	4.0
Good	Oh I got it	sd	0.0
Oh I got it	Oh I got it	sd	0.0
Oh I got it	Oh I got it	sd	0.0
What	Six times six	sd	3.0
Okay hum let s get the paper passed out and let s try that	That s not true	sd	1.0
That s not true	Yes it is	sd	1.0
Yes it is	Six times six is thirtysix minus five times six is   thirty	sd	4.0
Six times six is thirtysix minus five times six is   thirty	No it s impossible that s wrong	sd	1.0
No it s impossible that s wrong	Yeah that s right	aa	1.0
Yeah that s right	That s one of the ways	sd	3.0
That s one of the ways	I told you	aa	0.0
I told you	Oh shut up	aa	0.0
Oh shut up	It doesn t work	sd	1.0
It doesn t work	Why don t you pass the paper down	sd	0.0
Does work or   doesn t work	Six doesn t work so just kick me in the head	sd	3.0
Six doesn t work so just kick me in the head	There are two different numbers Jeff	sd	1.0
There are two different numbers Jeff	Two different   numbers	sd	1.0
Six doesn t work okay	No two	sd	3.0
No two	A couple different can go	sd	3.0
A couple different can go	No	sd	1.0
No	No	b	1.0
Yes the same number has to be	But there is two different possible answers though	sd	3.0
But there is two different possible answers though	I think I got it	sd	0.0
I think I got it	I think I got it but I m not sure but I think I   got it	sd	0.0
Michelle	Yeah	b	0.0
Everybody agrees with that	Oh I  don t want it to be right	sd	1.0
Matt can you show  that	I have a different number	sd	1.0
I have a different number	I think it might work with three	sv	3.0
Yeah okay and	Yeah	b	0.0
Yeah	Two and three work that works	sd	3.0
How much is that	Negative six	sd	3.0
How much is that	Plus the six would be zero	sd	3.0
Plus the six would be zero	Zero	sd	1.0
Zero	Zero	sd	1.0
Zero	Yes	b	0.0
Yes	Thank You	aa	0.0
And so when I say that s equal to zero is that true or false	Yeah	b	0.0
Yeah	True	aa	3.0
True	That was three	sd	3.0
Do I put the two  here or here	No three wouldn t work	sd	3.0
No three wouldn t work	In the brackets	sd	3.0
It goes in the truth set that makes it true	Let s try three now	sd	3.0
You say three you say three  it works	It is	aa	0.0
It is	It works	aa	3.0
It works	Three is going to work	sd	1.0
Three is going to work	I m just thinking don t	sd	0.0
I m just thinking don t	No	b	0.0
No	It works	aa	3.0
It works	It works	aa	1.0
how much is that	Zero	sd	3.0
Okay so when we say that s equal to zero up there is it true or false	It s true	aa	3.0
Not even Michelle not anybody not Ankur not Milin not anybody	Like ninety times ninety minus three hundred sixty minus  fortytwo plus eighteen equals nine	sd	0.0
Like ninety times ninety minus three hundred sixty minus  fortytwo plus eighteen equals nine	If it s impossible forget it	sd	0.0
If it s impossible forget it	The first one is easy	sd	0.0
The first one is easy	It s right  up there	aa	0.0
It s right  up there	Do we write both of them	sd	0.0
Okay	Should we go onto the next one	sd	0.0
You may as well	Didn t we do this one already	sd	0.0
I need two   people to volunteer for something	He got the whole class	sd	0.0
I   guess	So they raise their hands higher	sd	0.0
Now this is the really   tricky job here	Oh me	sd	0.0
Oh me	Oh not me	sd	0.0
Amy Lynn would you would you   say go	Go	b	0.0
You have to say it loudly	Go	b	0.0
How many do you want him to put in	Seven	sd	0.0
Seven	All of them	sd	0.0
Okay you agree he put seven in	I believe so	sd	3.0
Now are there more of those pieces of glass in the bag uh  than there were when Amy Lynn said go or there are     fewer	There are more now	sd	3.0
How many more	Seven	sd	3.0
This was a   seven because he counted in seven okay then but this is it is it true that there are seven pieces of glass in  that bag	There is more than seven	sd	3.0
What is it that this is saying	That he added seven	sd	3.0
Saying that there are more	Uh huh	b	0.0
Okay	Twelve	sd	0.0
Twelve	Jeff is counting	sd	0.0
Jeff is counting	Because I am good	sd	0.0
Because I am good	I ll make it hard on him	sd	0.0
I ll make it hard on him	How many is he taking out	sd	2.0
That was twelve	No	b	0.0
No	No	b	0.0
No	No I don t think so	sd	0.0
No I don t think so	Yeah I think he took one more extra	sd	3.0
Yeah I think he took one more extra	I think he took an extra one at least	sd	1.0
I think he took an extra one at least	He took an extra every single time	sd	2.0
Now at this point are  there more of those pieces of glass in the bag uh or fewer  than when Amy Lynn said  Go	There is less	sd	3.0
There is less	Less	sd	1.0
Less	Fewer	sd	1.0
Does everyone agree with that	Yes I do	sd	1.0
Somebody come and   write it	Seven minus twelve equals five	sd	4.0
Uh Matt would you come and write that	Sure	b	0.0
Sure	They can hear you you know	sd	0.0
Can I change it a little bit	Go ahead	aa	0.0
We want it to say there are five less in the bag okay	Uh huh	b	0.0
Brian you want to come and   try it	to erase that	sd	0.0
Is it okay that we change it that  way	I believe it s okay	sd	0.0
Jeffery would you say go	Go	b	0.0
Are there more in the bag now or fewer than when Jeffery   said go	More	aa	3.0
More	One more	sd	1.0
So if I wanted to write that ld say this	Say eighteen	sd	3.0
It says that he counted one in	Yeah but since I said go	sd	0.0
One more than  what	Than there were	sd	3.0
Than there were when	When Amy Lynn said go	sd	3.0
When Amy Lynn said go	No	b	0.0
No	When Jeff said go	sd	3.0
When Jeff said go	Oh don t confuse me now	sd	0.0
Oh don t confuse me now	One more than it s like five	sd	3.0
One more than it s like five	Thirteen	sd	1.0
Thirteen	Minus five plus one it s minus four	sd	4.0
Minus five plus one it s minus four	Yeah but since I said go not Amy Lynn	sd	0.0
Right	Oh since when he said go	sd	0.0
Oh since when he said go	One more since when he said go	sd	3.0
One more since when he said go	Oh he s got a name	sd	0.0
One more than when Jeff said go	That was hard	sd	0.0
That was hard	Thirteen	sd	0.0
How many do you want to take out	Thirteen	sd	0.0
Thirteen	Thirteen	sd	0.0
Thirteen	Thirteen	sd	0.0
Would you take out six	Why do you pick such stupid numbers	sd	0.0
Why do you pick such stupid numbers	Anyone can take  out six	sd	0.0
Anyone can take  out six	It takes skill to take out thirteen	sd	0.0
It takes skill to take out thirteen	He takes a whole handful of twelve	sd	0.0
Okay are there more or fewer than when Jeffery said go	Fewer	sd	3.0
Somebody come write it	Oh can I	sd	0.0
Jeffery come write it	That s the number they chose	sd	0.0
That s the number they chose	If you put in two and took   out six	sd	3.0
The five wants to be a  normal size five	Well I just it s I can t write like that	sd	0.0
Well I just it s I can t write like that	The thing is straight  up	sd	0.0
The thing is straight  up	It s weird	sd	0.0
Amy Lynn can you read it	One minus six equals negative five	sd	0.0
Michelle what would that be	Me	b	0.0
Me	Hum minus two	sd	3.0
Romina how would you read   that	Six minus eight equals negative two	sd	0.0
Ask that each group leader has  the very first question when you get to your group  The  things that you re going to be working with today could you  just tell me what you have on your desk that you re working  with Devon	Um we have blocks and rocks	sd	0.0
Students you may start okay	Okay	b	0.0
Okay	David has 14 Legos	sd	0.0
David has 14 Legos		b	0.0
	Paul has 5 Legos	sd	0.0
And  Michael and Michelle what is it that you re doing	Eight eight s  the	sd	3.0
How many do you  have	Fifteen	sd	3.0
Fifteen	Okay nine	b	1.0
Okay nine	Eight	sd	1.0
Eight	Eight	aa	1.0
Eight	Yea	b	0.0
Yea	See one two three four five	sd	0.0
See one two three four five	This is five	sd	3.0
This is five	I put five I put	sd	3.0
I put five I put	One two three four five	sd	0.0
One two three four five	That s minus	sd	3.0
That s minus	One  two three four five six seven eight	sd	0.0
One  two three four five six seven eight	Eight	b	3.0
Eight	I got nine	sd	1.0
I got nine	It s eight	sd	1.0
It s eight	It s eight	sd	1.0
It s eight	One two three four five One two three four five  eight	sd	0.0
One two three four five One two three four five  eight	It has to be eight	sd	3.0
It has to be eight	No it s not	sd	1.0
No it s not	It isn t eight	sd	3.0
It isn t eight	Yes it is	sd	1.0
Yes it is	I am not	sd	0.0
I am not	I need you to help	sd	0.0
How did  you figure that out	Jamie	sd	0.0
Jamie	You were supposed to go over the directions	sd	0.0
You were supposed to go over the directions	I didn t	sd	0.0
I didn t	One two three four  five six	sd	0.0
Want to try the stones to make sure	One two three four five six	sd	0.0
Could you read that first  problem for us again	David has 14 Lego blocks	sd	0.0
David has 14 Lego blocks	Paul has 5 Lego blocks	sd	0.0
Paul has 5 Lego blocks	How  many more Lego blocks does David have than Paul	sd	0.0
Let s  count the fourteen for me	One two three four	sd	0.0
One two three four	Two four six eight ten twelve fourteen	sd	3.0
Okay now perhaps you  can compare and see how many more Lego blocks does  David have than Paul	I got nine	sd	3.0
