text_a	text_b	labels
And I really wanted to know what you meant	Okay well what I meant was then I looked at the last one  and I saw that there was no ed	4.0
Okay well what I meant was then I looked at the last one  and I saw that there was no ed	If it was had then I would  figure out it was six but if it was has have and so thats  what I thought it was three	4.0
If it was had then I would  figure out it was six but if it was has have and so thats  what I thought it was three	Thats how it was three	4.0
What do you think the answer is Stephanie	I think its six	3.0
You think its six if he starts with  six and he sells three then he will have as many as dad	Three	3.0
Do you agree with Aaron hes  saying he thinks its six	It might be three	1.0
What do you think if grandpa has three and he then sells  three does he have as many as dad	No	0.0
What would he have if he had three and then he sells three	none	3.0
None or zero so would he have as many as dad	No	0.0
And then would he have the same number as dad	Yes	0.0
If grandpa has six and he sells three  then	I know what hes saying he would have three more like dad	1.0
What do we call these things	Cuisine  squares	3.0
Cuisine  squares	Blocks	1.0
I want you to find me a rod that s half as long as the blue  rod	Half as long as the blue rod	0.0
Half as long as the blue rod	Yeah  yeah yeah	0.0
Find me a rod that s half as long as the blue rod	Yellows	3.0
Yellows	Purple	1.0
Purple	It ain t the purples	1.0
It ain t the purples	It s not the yellows	1.0
It s not the yellows	It cannot be  blue s odd	4.0
It cannot be  blue s odd	Not yellow	3.0
Not yellow	Maybe it s these	3.0
Maybe it s these	Nah these are purple	3.0
Nah these are purple	The green one	3.0
The green one	Nope	3.0
Nope	Blue is odd	3.0
Blue is odd	Oh my god	0.0
Oh my god	Because two yellows goes up to  that	4.0
Because two yellows goes up to  that	Nothing	0.0
Nothing	It s an odd number	3.0
It s an odd number	I ll tell you what it is	0.0
I ll tell you what it is	I think you re right Mike	1.0
I think you re right Mike	I ll tell you what it is	0.0
If you re telling me there is none you gotta prove to me  there is none	It s 9	3.0
How can you prove to me there is none	It s 9	3.0
I d like  you to come up to the overhead and do it	Prove to me is just another why of saying  why	0.0
Prove to me is just another why of saying  why	We can do it now	0.0
Can you  volunteer come up and prove it	I don t want to	0.0
I don t want to	Mike wants to	0.0
Mike wants to	No	0.0
I heard an answer  verbally so  let s see if what she said I heard her say is the same thing	You have to give me a minute but like	0.0
Do you need some help	No I think I can handle it	0.0
No I think I can handle it	How many how many different  ones are there in total	2.0
How many how many different  ones are there in total	Seven I think	3.0
Seven I think	No 8	3.0
No 8	Sarah	0.0
Sarah	Sarah	0.0
Sarah	Sarah	0.0
Sarah	Okay	0.0
Okay	Dark green	3.0
Dark green	All right	0.0
All right	I mean none of them fit there	2.0
I mean none of them fit there	You can fit there for each one	4.0
You can fit there for each one	You  could see that none of them are half I mean that s too  small and that d be it for next one up which is yellow and  yellow is too big	4.0
You  could see that none of them are half I mean that s too  small and that d be it for next one up which is yellow and  yellow is too big	And the one smaller is like the pink one  and the pink one is too small	4.0
And the one smaller is like the pink one  and the pink one is too small	And there is nothing left	4.0
And there is nothing left	So there s none in between them	4.0
And how do you know there s none in between	Because on top of the box they list all the different colors  and those are all the different colors	4.0
Do you agree	Yes	1.0
But suppose I don t believe the box	It wouldn t lie to you though on the box	4.0
It wouldn t lie to you though on the box	They re trying to  tell you the problem	4.0
They re trying to  tell you the problem	They re lying  and  you won t buy it anymore	4.0
Michelle	Okay you take how many of these white things and then  create along the blue thing	4.0
Okay you take how many of these white things and then  create along the blue thing	Blue rod you know	4.0
Blue rod you know	And you  count how many there are	4.0
And you  count how many there are	And there are 9	4.0
And there are 9	Along the white  I mean the blue thing	4.0
Along the white  I mean the blue thing	And nine can t be divided equally	4.0
And nine can t be divided equally	So	0.0
What were you going to say Sandy	Those are all the possibilities that are given to you	4.0
Those are all the possibilities that are given to you	That are  provided	4.0
That are  provided	I mean there weren t any other rods	4.0
I mean there weren t any other rods	There  weren t like any other colors remaining besides what was  provided	4.0
If  you think you have it at your table raise your hand		0.0
	What	2.0
What		0.0
	And 14	0.0
So if you think you agree at your table someone raise their  hand	Raise your hand Mike	0.0
Do you agree		0.0
		0.0
	Is that the problem	0.0
Is that the problem	Is that what she wants	0.0
Is that what she wants	I think so	0.0
How many		0.0
About how many are there in a box	Ten	3.0
If you can you find a quick  way of finding the surface area of every rod in the box	Length times 4 plus 2	3.0
If you can write it down write it down on a piece of paper  the four of you	All right	0.0
All right	Length times 4 plus 2	3.0
Length times 4 plus 2	All right	0.0
All right	How do you spell length	0.0
How do you spell length	Gth	0.0
Gth	Mike	0.0
Mike	You got some nice handwriting	0.0
You got some nice handwriting	I don t	0.0
I don t	Of the	0.0
Of the	Okay how do you spell it	0.0
Okay how do you spell it	What are you looking for	0.0
What are you looking for	Cuisenaire	0.0
Cuisenaire	Is that what it s called	0.0
Is that what it s called	I don t have that on mine	0.0
I don t have that on mine	Cuisine	0.0
Cuisine	That s mine	0.0
That s mine	Okay	0.0
Okay	I put a period down  You can build a house	0.0
I put a period down  You can build a house	Two greens	3.0
Two greens	make a  green	3.0
make a  green	I ll write it	0.0
I ll write it	Copy it	0.0
Copy it	I have to copy it	0.0
I have to copy it	Put it on top of it	0.0
Put it on top of it	Wait I can handle it	0.0
Wait I can handle it	I m not copying it	0.0
You  tested it	Of any color	0.0
Of any color	Okay Mike you can write it	0.0
Okay Mike you can write it	I can	0.0
I can	Wow	0.0
Wow	You messed up	0.0
You messed up	No I don t want that	0.0
No I don t want that	Okay don t go over there	0.0
Okay don t go over there	You don t  need it	0.0
You don t  need it	I m missing the black rod	0.0
I m missing the black rod	Did you dump your rods on the floor	0.0
Did you dump your rods on the floor	He did	0.0
He did	I hate it	0.0
I hate it	I can t do it the sides are all messed up	0.0
I can t do it the sides are all messed up	It must be  messy	0.0
It must be  messy	How do you think they come packaged	0.0
How do you think they come packaged	I found a dark one	0.0
Could you figure out  what the volume is of every other rod in the box	Every other	0.0
What would the volume of  this one be	okay	0.0
okay	Wouldn t that be 2	3.0
Two what	Two units	3.0
Right	So just the length	0.0
So just the length	Length times width times height	3.0
Length times width times height	Well yeah Mike	1.0
Well yeah Mike	There would be three of these	3.0
There would be three of these	Because that s one	4.0
Because that s one	And this would be three units cubed	1.0
And this would be three units cubed	Oh yeah	1.0
Oh yeah	Length equals length plus volume of the rod	3.0
Length equals length plus volume of the rod	Volume equals length of a rod squared	3.0
Volume equals length of a rod squared	Cubed	3.0
Cubed	Cubed	3.0
Cubed	That s great	0.0
That s great	No because we don t want lengths cubed	1.0
No because we don t want lengths cubed	Length cubed  because that s just like	3.0
Length cubed  because that s just like	Length equals volume	3.0
Length equals volume	Where d you get that	2.0
Where d you get that	Equals volume doesn t it	3.0
Equals volume doesn t it	Like of the with with the with  the unit	3.0
Like of the with with the with  the unit	This is the length of 5	3.0
This is the length of 5	No because you could put the length	4.0
No because you could put the length	No if you put that  wouldn t you think that	4.0
No if you put that  wouldn t you think that	Okay what s the length of this	2.0
Okay what s the length of this	Wouldn t you think that if I saw that if I saw that wouldn t  you go like this	0.0
Wouldn t you think that if I saw that if I saw that wouldn t  you go like this	Wouldn t you think it s 5 cubes	0.0
Wouldn t you think it s 5 cubes	5 times 5 times 5	3.0
5 times 5 times 5	Okay	1.0
Okay	I know what you re doing	0.0
I know what you re doing	Romina you write nice	0.0
Romina you write nice	Doesn t she	0.0
Doesn t she	So length equals length	3.0
So length equals length	Doesn t length equal volume	3.0
Doesn t length equal volume	No because volume is cubed	4.0
No because volume is cubed	No	0.0
No	Who cares about the cubes	0.0
Who cares about the cubes	If the length is 5 divided by 5 cubes	3.0
If the length is 5 divided by 5 cubes	I don t know	0.0
I don t know	Three cubed units	3.0
Three cubed units	I ll write it with Cuisenaire rods	0.0
I ll write it with Cuisenaire rods	Length	0.0
Did you write down the formula	No we don t know if it s right	0.0
No we don t know if it s right	It s right	3.0
It s right	I m just writing it down	0.0
I m just writing it down	How can that be right	2.0
How can that be right	Yeah Mike but we have to go a little more specific	1.0
Yeah Mike but we have to go a little more specific	It is specific	1.0
It is specific	Michael	0.0
Michael	Length of rod equals volume of rod	3.0
Length of rod equals volume of rod	Okay length of rod equals volume of rod	1.0
Okay length of rod equals volume of rod	Length of rod in units equals volume	1.0
Length of rod in units equals volume	Okay fine	0.0
Okay fine	Length equals volume	3.0
Length equals volume	It sounds good	0.0
It sounds good	Length equals volume	1.0
Length equals volume	Could we put How could we  phrase this	2.0
Could we put How could we  phrase this	I don t know	0.0
I don t know	Okay the length of the of the rod chosen equals	3.0
Okay the length of the of the rod chosen equals	Okay how  about the length of the rod chosen and	3.0
Could you do that problem	We re trying to word it because we know we know what it  is	0.0
Get Michelle to write it down	Yeah Michelle	0.0
Yeah Michelle	Write it	0.0
Write it	Go Michelle	0.0
Go Michelle	You got contacts	0.0
You got contacts	You got contacts	0.0
You got contacts	Okay go  Michelle	0.0
Okay go  Michelle	You can write it down	0.0
You can write it down	Go Michelle you can  write it down	0.0
Go Michelle you can  write it down	Michelle Well wouldn t this be like even though it is the length  equals the volume you have to state that it s length times  width times height so you put length times one times one  even though it is just length to show	4.0
Michelle Well wouldn t this be like even though it is the length  equals the volume you have to state that it s length times  width times height so you put length times one times one  even though it is just length to show	Yeah	0.0
Yeah	I guess	0.0
I guess	But it s because the length is  we all ready have the cubes and we just need the surface	4.0
But it s because the length is  we all ready have the cubes and we just need the surface	No	0.0
No	I don t know	0.0
I don t know	I don t know	0.0
I don t know	Rutgers always stresses me out	0.0
Rutgers always stresses me out	Don t throw tables or anything	0.0
Don t throw tables or anything	I can t believe you did that  that one time	0.0
I can t believe you did that  that one time	I never threw a table at you	0.0
I never threw a table at you	Oh you were about to throw the table	0.0
Oh you were about to throw the table	I left it and dropped it because it was too heavy	0.0
I left it and dropped it because it was too heavy	Okay the length of the square units	3.0
What s what s what s what s  causing you trouble	No because length equals volume but see it s that s too	4.0
You know that s definitely false	It s not	3.0
It s not	Okay if you use this	4.0
Okay if you use this	This is what we re using as a  measuring tool	4.0
This is what we re using as a  measuring tool	And one two of these equals that one	4.0
And one two of these equals that one	So  then this one is two units cubed	4.0
So  then this one is two units cubed	Which also equals length	1.0
Which also equals length	But wouldn t length equals  y	3.0
You know length can t equal volume	Yeah we know that	0.0
I think what  you re trying to tell me is that you used two of these right	Yeah	0.0
Do you understand Michelle	Length equals volume	3.0
So watch those units a little bit and see if you can write it	Go Michelle	0.0
Go Michelle	I m going to bring up some	0.0
I m going to bring up some	Here s Mr  Volume	0.0
Here s Mr  Volume	Here s Mr	0.0
Here s Mr	Length	0.0
What did you say the volume is	Wouldn t that be 3	3.0
Three because it s three long right	Yeah	0.0
How long is this	Three long	3.0
Is that three still	No	0.0
No	And the height is one	3.0
And the height is one	See that s what Michelle was saying	1.0
See that s what Michelle was saying	Here s Mr	0.0
Here s Mr	Length and here s Mr Volume	0.0
Length and here s Mr Volume	Length times one times height	3.0
Length times one times height	Michelle See you have to state what the width and the height is to  calculate volume even if it is just one	3.0
Michelle See you have to state what the width and the height is to  calculate volume even if it is just one	Length times one times one	3.0
Is that true here length times 1 times 1	Well because well not here	4.0
Well because well not here	Length times we could do  length times width times height	4.0
Right but you re giving me a formula for one rod right	Yeah	0.0
Your rule should fit volume more generally	How about length in units times width in units times height  in units equals volume	3.0
Does that work	Don t we know that all ready	0.0
In another case	Yea because this then the length of this would be 3	4.0
Yea because this then the length of this would be 3	The  width of this would be 2 and the height of would be 3	4.0
The  width of this would be 2 and the height of would be 3	Of course it would	1.0
But the volume does not equal length	No	0.0
No	We knew that	0.0
You were  saying L equals V	Why did you say that	0.0
Why did you say that	Now you re making us look stupid	0.0
So when you make up a rule make sure you say something  that s true	Go for it Michelle	0.0
Go for it Michelle	Length times width times height	3.0
Length times width times height	Length in units times width in units times height in units	1.0
Length in units times width in units times height in units	I didn t know it was such a simple answer	0.0
I didn t know it was such a simple answer	Answer	0.0
Answer	Here Michelle you could write on this	0.0
Here Michelle you could write on this	I don t know	0.0
I don t know	Sorry Michelle	0.0
Sorry Michelle	Sorry Michelle I  did it again	0.0
Sorry Michelle I  did it again	2635 R1 Okay	0.0
2635 R1 Okay	So what did you do here	2.0
So what did you do here	We have show her in units times height units times width  and units times length equals volume	3.0
We have show her in units times height units times width  and units times length equals volume	A simple answer	0.0
Again one more time	It s just length times height times width equals volume	4.0
It s just length times height times width equals volume	So  for example this would just this one would be 2 x 1 x 1	4.0
So  for example this would just this one would be 2 x 1 x 1	That s length times height times width	4.0
That s length times height times width	If you had something  like this it d be 2 x 2 x 2	4.0
Can you  come up with a way of finding the surface area or volume  for them stacking as high as we want to stack	That s sort of the question he came and asked you	0.0
Do you  understand the question Brian	Yes I do	0.0
Yes I do	Brian what are you going to do	2.0
You gotta sell it to me	I hate	0.0
I hate	Six times 3 is 18 plus 3	4.0
Six times 3 is 18 plus 3	Six times 6	4.0
Six times 6	Six times 4	1.0
Six times 4	Six times 316 times 1	1.0
Six times 316 times 1	Isn t that the same thing	3.0
Isn t that the same thing	Depends	0.0
Depends	Three	3.0
Three	Oh okay	0.0
Oh okay	Six times 3	4.0
Six times 3	I got that by 6 this equals 1	4.0
I got that by 6 this equals 1	And then 2 and 3	4.0
And then 2 and 3	And then other way 6 times 3	4.0
And then other way 6 times 3	Michelle Wait	0.0
Michelle Wait	Didn t she want us to find like like the formula for  surface area though	0.0
Didn t she want us to find like like the formula for  surface area though	Uh I didn t know that s what she wants us to do	0.0
Uh I didn t know that s what she wants us to do	You can  do that	0.0
You can  do that	Michelle Well wouldn t it be 6 times 6 and then times 6 times 6 times  6 times 6 times 6 times 6 and then plus everything at the  end	4.0
Michelle Well wouldn t it be 6 times 6 and then times 6 times 6 times  6 times 6 times 6 times 6 and then plus everything at the  end	Like everything 6	4.0
Like everything 6	Okay this is where we go in parentheses	3.0
Okay this is where we go in parentheses	We do 6   Michelle But it depends on how many you like stack in a row	4.0
We do 6   Michelle But it depends on how many you like stack in a row	Like if  you put 3 it s going to be different than 4	4.0
Like if  you put 3 it s going to be different than 4	Okay here s what s going on	0.0
Okay here s what s going on	You do in parentheses 6 times  4 plus 2 in parentheses and go on that side number all the  rods	4.0
You do in parentheses 6 times  4 plus 2 in parentheses and go on that side number all the  rods	Like that would be just the unknown	4.0
Like that would be just the unknown	What	2.0
What	Never never mind	0.0
Never never mind	Okay	0.0
Okay	Okay	0.0
Okay	See that thing	0.0
See that thing	We re  finding find the surface area	4.0
We re  finding find the surface area	It would be 6 times 4	4.0
It would be 6 times 4	Why 4	2.0
Why 4	Where s the 4 from	2.0
Where s the 4 from	Four times	4.0
Four times	Plus 2	4.0
Plus 2	All that would be in  parentheses	4.0
All that would be in  parentheses	All of that put it like that	4.0
All of that put it like that	And  outside would be number of rods	4.0
And  outside would be number of rods	3000 Romina Length times 4 plus 2	4.0
3000 Romina Length times 4 plus 2	Isn t that what you re trying to say	0.0
Isn t that what you re trying to say	Yeah	0.0
Yeah	Times number of rods	3.0
Times number of rods	Did I get it though	0.0
Did I get it though	Okay	0.0
Okay	How big is this	2.0
How big is this	So let s say you had this one	4.0
So let s say you had this one	3 that s 12	4.0
3 that s 12	That s 14	4.0
That s 14	How  many how many do you want	2.0
How  many how many do you want	Michelle 3	0.0
Michelle 3	That s 42	1.0
That s 42	Now is that what it would be	0.0
Now is that what it would be	I just thought it  would be	0.0
I just thought it  would be	This is 3 squared	3.0
This is 3 squared	Like three cubes	4.0
Like three cubes	And like 3 x 3  would be 9 instead of 42	4.0
And like 3 x 3  would be 9 instead of 42	Michelle What if it were like the length of your rod	4.0
Michelle What if it were like the length of your rod	Say it s the green  one	4.0
Say it s the green  one	That s 3	4.0
That s 3	And then if you have 3 of them then it would  be times 8 because	4.0
And then if you have 3 of them then it would  be times 8 because	How about length times	4.0
How about length times	Hold on	0.0
Hold on	Length times	0.0
Length times	She told you to hold on Mike	0.0
She told you to hold on Mike	I m sorry	0.0
I m sorry	Wouldn t it be length times number of rods equals volume	3.0
Wouldn t it be length times number of rods equals volume	Look everybody	0.0
Look everybody	I mean that would make sense	0.0
I mean that would make sense	Michelle No because you still have to add the ending because if you  have like 3 here	4.0
Michelle No because you still have to add the ending because if you  have like 3 here	It s going to be 3 plus 3 plus 3 plus 3 plus 3  plus another three 3s	4.0
It s going to be 3 plus 3 plus 3 plus 3 plus 3  plus another three 3s	And then plus the end	4.0
And then plus the end	I don t get that because that wouldn t be volume	4.0
I don t get that because that wouldn t be volume	Michelle But she wanted us to find surface area	4.0
Michelle But she wanted us to find surface area	She wants surface area	0.0
She wants surface area	Yeah	0.0
Yeah	Oh	0.0
Oh	I didn t know that	0.0
I didn t know that	Didn t she say the volume	0.0
Didn t she say the volume	Ah well  then just disregard everything she said	0.0
Ah well  then just disregard everything she said	Okay so what did  we have	2.0
Okay so what did  we have	Michelle Okay so if we kept it like going straight	0.0
Michelle Okay so if we kept it like going straight	If she wants that wouldn t it just be length times 4 plus 2	3.0
If she wants that wouldn t it just be length times 4 plus 2	Yeah wouldn t it be that	0.0
Yeah wouldn t it be that	Michelle No because there s not there s like	4.0
Michelle No because there s not there s like	Length times 4 the number of sides plus 2	4.0
Length times 4 the number of sides plus 2	Wait	0.0
Wait	Wait	0.0
Wait	Michelle It s the length times	3.0
Michelle It s the length times	L times  Michelle 8	0.0
L times  Michelle 8	Number of rods	3.0
Number of rods	Wouldn t we just do this one and then times 3	1.0
Wouldn t we just do this one and then times 3	Times 4	1.0
Times 4	Plus 2	3.0
Plus 2	Yeah but she s saying that s covered	0.0
Yeah but she s saying that s covered	That is it	0.0
That is it	Michelle It s like your length times 8	1.0
Michelle It s like your length times 8	No it s not	1.0
No it s not	Look	0.0
Look	Michelle s saying that that you don t  count these	1.0
Michelle s saying that that you don t  count these	Michelle No because they re hidden and you can t count them	4.0
Michelle No because they re hidden and you can t count them	So wouldn t it be 1 2 3 4	4.0
So wouldn t it be 1 2 3 4	Michelle Okay	0.0
Michelle Okay	The length is 3	4.0
The length is 3	So it s 3 times 8 so that s another 6	4.0
So it s 3 times 8 so that s another 6		0.0
	Okay is that right	0.0
Okay is that right	8 plus 8 because there s 8 sides  showing	4.0
8 plus 8 because there s 8 sides  showing	There s 1 2 3 4 5 6 and then an 8 24	4.0
There s 1 2 3 4 5 6 and then an 8 24		0.0
	I see what you re talking about	1.0
I see what you re talking about	Yeah I see what you re talking about too	1.0
Yeah I see what you re talking about too	So there s that	0.0
So there s that	Michelle It s your length times 8 if we re like keeping it like	1.0
Michelle It s your length times 8 if we re like keeping it like	How many blocks there are to 2 sides there s 2	3.0
How many blocks there are to 2 sides there s 2	4 blocks 3  sides	3.0
4 blocks 3  sides	Wait if there s 3 of them	4.0
Wait if there s 3 of them	3 x 3 minus 1 and you get 8	4.0
3 x 3 minus 1 and you get 8	I  don t know	0.0
I  don t know	How many times do you get 8	2.0
How many times do you get 8	1234	0.0
1234	Are you  guys done	0.0
Are you  guys done	Michelle Wouldn t it be length times however many sides are  showing  then depending on how  many	3.0
Michelle Wouldn t it be length times however many sides are  showing  then depending on how  many	No because you gotta add the two on the edge like that   Michelle And then plus the number of things over there	4.0
No because you gotta add the two on the edge like that   Michelle And then plus the number of things over there	Plus 2 times number of blocks because these 2 can never be  cut off	4.0
Plus 2 times number of blocks because these 2 can never be  cut off	These are going to be on the end unless it s like this	4.0
These are going to be on the end unless it s like this	3504 Romina Yeah but I can make one like this	1.0
3504 Romina Yeah but I can make one like this	Shut up	0.0
Shut up	Shut up	0.0
Shut up	I doubt there s going to be one equation to  satisfy all our things	3.0
I doubt there s going to be one equation to  satisfy all our things	All those different lengths	3.0
All those different lengths	We have to figure this out	0.0
We have to figure this out	Okay	0.0
Okay	Michelle Plus it s length however many sides and then plus however  many ends there are   How long the row is	4.0
Michelle Plus it s length however many sides and then plus however  many ends there are   How long the row is	Times how many ends	4.0
Times how many ends	Plus	4.0
Plus	I mean plus	4.0
I mean plus	Michelle Yeah because if you have 5 things	4.0
Michelle Yeah because if you have 5 things	Oh well length 3 times length times how many sides   yeah times 10 plus  8	4.0
Oh well length 3 times length times how many sides   yeah times 10 plus  8	Sorry  Would that be 40 38	4.0
Sorry  Would that be 40 38	48	3.0
48	38	3.0
38	Is that right	0.0
Is that right	Wait 1 2 3 4 5 6 7 8 9 10 11 12 24 25 26 27 28 29  30	0.0
Wait 1 2 3 4 5 6 7 8 9 10 11 12 24 25 26 27 28 29  30	Where are we going to get the other one from	2.0
Where are we going to get the other one from	Michelle From the other ends	3.0
Michelle From the other ends	So is that right	0.0
So is that right	Yeah if we if they accept that	0.0
Yeah if we if they accept that	But you know they re going  to make us prove that	0.0
But you know they re going  to make us prove that	So use that	0.0
So use that	Mike what are you doing	0.0
Mike what are you doing	You want to ask if they d accept  that	0.0
You want to ask if they d accept  that	I m not gonna because I don t know	0.0
I m not gonna because I don t know	Where s Mr	0.0
Where s Mr	He s not here	0.0
He s not here	Length times how many sides times plus how  many ends	3.0
Length times how many sides times plus how  many ends	You have to define  you have to say what a side is and what an end	3.0
You have to define  you have to say what a side is and what an end	How many faces faces plus how many	2.0
When is this a times or a next	Times	0.0
Okay length times	Length times number of faces plus ends like these	3.0
Say what you mean  by an end	How about cm	3.0
If you re doing  things for surface area I m stamping finding out how many  of these stamps	You would have to square	3.0
Brian what  are you doing now	Finding an end	0.0
Finding an end	What are you doing	0.0
What are you doing	She s speaking to you	0.0
She s speaking to you	These ends	0.0
These ends	Like	0.0
You mean you mean the face	The square unit	3.0
Why  don t you say the square unit	The square unit	3.0
The square unit	Does it make sense	0.0
Does it make sense	Okay let s does it  make sense	0.0
Okay let s does it  make sense	Why d you knock down my building	0.0
Why d you knock down my building	It was totally balanced	0.0
It was totally balanced	Length of one square	3.0
Length of one square	Of one	0.0
Of one	Okay length	0.0
Okay length	How about  length of one rod	3.0
How about  length of one rod	Can I get the fuzz out	0.0
Can I get the fuzz out	Yes	0.0
Yes	Okay length of one rod is 3 times number of faces   times 10 plus square unit which is 1	4.0
Okay length of one rod is 3 times number of faces   times 10 plus square unit which is 1	Would you  get it if I said that	0.0
Would you  get it if I said that	Michelle Yeah because square units is like the same thing	4.0
Michelle Yeah because square units is like the same thing	Plus perimeter	4.0
Plus perimeter	Can we say that	0.0
Can we say that	Isn t that what it basically  is because it s 8 right	4.0
Isn t that what it basically  is because it s 8 right	Michelle Why don t we just say square unit ends and just so they  don t think it s the side or something	4.0
Michelle Why don t we just say square unit ends and just so they  don t think it s the side or something	Would it be it would be 3 and 3	4.0
Would it be it would be 3 and 3	Why did I  get 14 this time	2.0
Why did I  get 14 this time	Michelle 14 right and then plus the 14	4.0
Michelle 14 right and then plus the 14	Plus the 12 on the top and the  12 on the bottom	4.0
Plus the 12 on the top and the  12 on the bottom	That s 1424	4.0
That s 1424	But wait wait	0.0
But wait wait	Wouldn t it just be width wouldn t it just be  width squared then	3.0
Wouldn t it just be width wouldn t it just be  width squared then	That s the width	3.0
That s the width	It s squared	3.0
It s squared	Hold on what I mean is like length	4.0
Hold on what I mean is like length	We have length times  number of faces	4.0
We have length times  number of faces	Number of faces is 10	4.0
Number of faces is 10	And then that s 30  and this is just supposed to be 8	4.0
And then that s 30  and this is just supposed to be 8	So it d be just on this side	4.0
So it d be just on this side	I found  Uh oh	0.0
I found  Uh oh	I can t do this	0.0
I can t do this	What is that	2.0
What is that	I m going to try something else	0.0
I m going to try something else	Four four four	0.0
Four four four	6 6	0.0
6 6	Which is the length and which is the width	2.0
Which is the length and which is the width	4518 Romina Length	0.0
4518 Romina Length	Width	3.0
Width	3 6 plus 8	3.0
3 6 plus 8		0.0
	What are you doing	2.0
What are you doing	Four of them and I ll tell you what I  get what I think it s supposed to be	0.0
Four of them and I ll tell you what I  get what I think it s supposed to be	It s 325	3.0
It s 325	Mike do it like this	0.0
Mike do it like this	So it would be	0.0
So it would be	You re gonna get 4	3.0
You re gonna get 4	It works	0.0
It works	It works	1.0
It works	Excuse me ma am	0.0
Excuse me ma am	For this is different than that	3.0
For this is different than that	That	0.0
That	I d  include it but	0.0
I d  include it but	Two times length	3.0
Two times length	Listen cross it out	0.0
Listen cross it out	Want to cross it out	0.0
Want to cross it out	You know what  yes	0.0
You know what  yes	Maybe switch with green	3.0
Maybe switch with green	Shh	0.0
Shh	I have everything	0.0
I have everything	Everything	0.0
Everything	Everything	0.0
Everything	But length okay two times length times width plus height  times width times two	3.0
But length okay two times length times width plus height  times width times two	I tried a flat one and I tried a square one	0.0
I tried a flat one and I tried a square one	Yes	0.0
Yes	Equals  surface	3.0
Equals  surface	How did you get that	2.0
How did you get that	You wouldn t understand	0.0
You wouldn t understand	Oh I m not meant to be	0.0
Oh I m not meant to be	Okay I ll tell you how I got it	0.0
Okay I ll tell you how I got it	I ended up with that 2ly  times	3.0
I ended up with that 2ly  times	Not everybody else knows that	0.0
Not everybody else knows that	Okay I got it	0.0
Okay I got it	You think you have it	0.0
You think you have it	I do have it	0.0
All right explain to me	Two times this equals that	3.0
Two times this equals that	Now	0.0
I don t know what L	Length and width	3.0
Length and width	Height	3.0
Height	Put  l  length	1.0
Put  l  length	W  width	1.0
W  width	And  h  height	1.0
And  h  height	You spelled it wrong	0.0
You spelled it wrong	Mike	0.0
So I m stacking them right	Whichever way you stack them	0.0
I want to be sure  this works	It would flatten it would work	0.0
So how does this work	The height is 1	3.0
The height is 1	I ll write it	0.0
I ll write it	L W Height is 1	4.0
L W Height is 1	The width is  which one are you talking about 4 and the length is 6	4.0
The width is  which one are you talking about 4 and the length is 6	Now  you take this equation	4.0
Now  you take this equation	Two times LW is 24	4.0
Two times LW is 24	Plus HW is 4	4.0
Plus HW is 4	Plus HL is 6	4.0
Plus HL is 6	Which that equals 30 no 30 square	4.0
Which that equals 30 no 30 square	34 times 2 is 68	4.0
34 times 2 is 68	Right	0.0
Right	Okay	0.0
Okay	Now that is  the answer	0.0
Now that is  the answer	I want to see I think where s my other paper  that you guys took away	0.0
I want to see I think where s my other paper  that you guys took away	I think I already did that one  somewhere	0.0
I think I already did that one  somewhere	Okay and it s 68 and now the way to prove is to  just look at it	4.0
Okay and it s 68 and now the way to prove is to  just look at it	4 plus 4 on the other side and then this is 24  so it s 24 and 6 and 60	4.0
4 plus 4 on the other side and then this is 24  so it s 24 and 6 and 60		0.0
	It s 68	4.0
It s 68	It works	0.0
It works	Yeah even if you did them in squares	3.0
So it doesn t matter how many you got	Yeah it ll work with these too	3.0
Yeah it ll work with these too	It ll have a different surface  area	3.0
It ll have a different surface area	Yeah I think so but I m not sure	0.0
Yeah I think so but I m not sure	I m not positive	0.0
Now let s do it this way	It works squared too	3.0
It works this way and	With this it ll be Length is still 6	4.0
With this it ll be Length is still 6	Width is 2	4.0
Width is 2	Height is 2	4.0
Height is 2	So	0.0
So	LW is 12	4.0
LW is 12	HW 4	4.0
HW 4	And HL is 12	4.0
And HL is 12	That ll be 28	4.0
That ll be 28	Times 2  56	4.0
Times 2  56	And this 4	4.0
And this 4	This is 12	4.0
This is 12	Plus so wait	0.0
Plus so wait	6 yeah	1.0
6 yeah		0.0
It s always going to work		0.0
	Yeah	0.0
Yeah	I figured this out	0.0
What about  volume	Volume	0.0
Did you do volume yet	I just did surface area	3.0
I just did surface area	I ll do volume now	0.0
Okay work on volume now	I thought it was length times width times height	3.0
Would the surface area change do you think	Yeah	0.0
Why don t you do that in general	What does she mean	0.0
What does she mean	This is added like this	3.0
This is added like this	Michelle  It s like steps	0.0
Michelle  It s like steps	You have just like one	0.0
You have just like one	I don t know	0.0
I don t know	Want to see  ours	0.0
Want to see  ours	Um	0.0
Um	Fine	0.0
Fine	We re not getting anywhere	0.0
We re not getting anywhere	I found the surface area of this	3.0
I found the surface area of this	That s 68	3.0
That s 68	Now I m trying  to find the same kind of formula for those inbetween	3.0
Now I m trying  to find the same kind of formula for those inbetween	Gotta share	0.0
Gotta share	Share	0.0
Share	It s time to share	0.0
Okay	Share	0.0
Share	Write up as far as you  got and everything you found out	0.0
Write up as far as you  got and everything you found out	And put your names on  there	0.0
And put your names on  there	Okay	0.0
